feature,missing_rate
induction_year,0.988421920065925
hof_first_ballot_year,0.9418623815409971
hof_ballot_rows,0.9418623815409971
hof_last_ballot_year,0.9418623815409971
award_entropy,0.9327976926246395
award_hhi,0.9327976926246395
pitpost_WHIP,0.9058508446641945
pitpost_ERA,0.9058508446641945
pitpost_G,0.9050679851668727
pitpost_GS,0.9050679851668727
pitpost_CG,0.9050679851668727
pitpost_SHO,0.9050679851668727
pitpost_SV,0.9050679851668727
pitpost_R,0.9050679851668727
pitpost_L,0.9050679851668727
pitpost_IPouts,0.9050679851668727
pitpost_H,0.9050679851668727
pitpost_ER,0.9050679851668727
pitpost_HR,0.9050679851668727
pitpost_BB,0.9050679851668727
pitpost_SO,0.9050679851668727
pitpost_W,0.9050679851668727
pitpost_IP,0.9050679851668727
allstar_games,0.9049031726411207
allstar_years,0.9049031726411207
